x,variable,value,p,d,ynorm
9.5,zg,13396.141359415455,bj,quannianri,0.02220058385191675
10.5,zg,13356.766978706326,bj,quannianri,0.022135331163318034
11.5,zg,18155.670810835265,bj,quannianri,0.030088253132716538
12.5,zg,16284.817099450904,bj,quannianri,0.026987804758822214
13.5,zg,18945.584500984667,bj,quannianri,0.03139732748804299
14.5,zg,19119.969233536536,bj,quannianri,0.031686324354651206
15.5,zg,16293.983860123019,bj,quannianri,0.027002996255648924
16.5,zg,13155.934131012165,bj,quannianri,0.021802503496318258
17.5,zg,11454.914697526914,bj,quannianri,0.01898351080628613
18.5,zg,11967.221021080697,bj,quannianri,0.019832523905564087
19.5,zg,12819.170491104307,bj,quannianri,0.021244406263282094
20.5,zg,15100.237106472598,bj,quannianri,0.02502467472325163
21.5,zg,16127.652675698224,bj,quannianri,0.02672734602862173
22.5,zg,19796.078907796888,bj,quannianri,0.032806798460872796
23.5,zg,19136.32178124882,bj,quannianri,0.03171342440510147
0.5,zd,13021.594654751929,bj,quannianri,0.021579871118283387
1.5,zd,14135.904601540467,bj,quannianri,0.02342654701897598
2.5,zd,13623.786751546326,bj,quannianri,0.022577846265093047
3.5,zd,10691.92497173978,bj,quannianri,0.017719055846382108
4.5,zd,11131.009075950562,bj,quannianri,0.018446722359599658
5.5,zd,7915.200757549643,bj,quannianri,0.01311736517316084
6.5,zd,7763.553183303694,bj,quannianri,0.012866049171212212
7.5,zd,7014.950720151536,bj,quannianri,0.011625437318211723
8.5,zd,7209.184109802146,bj,quannianri,0.011947328117814971
9.5,zd,7826.6110839972625,bj,quannianri,0.012970551070252676
10.5,zd,8216.903281090552,bj,quannianri,0.013617357819737178
11.5,zd,9892.78599159646,bj,quannianri,0.016394692997259326
12.5,zd,9497.824435250288,bj,quannianri,0.015740148011901742
13.5,zd,10409.944331364964,bj,quannianri,0.017251747038323113
14.5,zd,10766.065512539371,bj,quannianri,0.017841924308925686
15.5,zd,9389.151380007292,bj,quannianri,0.01556005098167218
16.5,zd,7842.8879026017985,bj,quannianri,0.012997525619608149
17.5,zd,6657.203931311485,bj,quannianri,0.01103256603010641
18.5,zd,6955.405545114056,bj,quannianri,0.01152675683881625
19.5,zd,7290.598219924232,bj,quannianri,0.012082250610046228
20.5,zd,9638.031297187177,bj,quannianri,0.015972504039770637
21.5,zd,11103.278025955475,bj,quannianri,0.01840076543183964
22.5,zd,14109.917841942088,bj,quannianri,0.023383480794156104
23.5,zd,13423.0909036074,bj,quannianri,0.022245245639184598
0.5,zg,14125.231312823335,cq,quannianri,0.029445006146600207
1.5,zg,14005.721335284965,cq,quannianri,0.029195879463626687
2.5,zg,13447.472355876593,cq,quannianri,0.02803217146720682
3.5,zg,10747.237456910058,cq,quannianri,0.022403348020956157
4.5,zg,10569.379896888673,cq,quannianri,0.02203259183069861
